2007,Ohio State,Buckeyes,32,,,,,,,,,,,,,
#,Line Plunge,Counter,End Reverse,Draw,Option,Screen,Sprint Out,Boot-leg,Drop Back,QT,QR,B,#,,,
10,12,-2,18,19,7,13,B,16,INT 42,-17,18,27,10,,,
11,-2,17,13,18,-3,25,11,8,B,12,1,36,11,,,
12,13,F-1,14,14,1,B,10,B,15,5,8,20,12,,,
13,OFF10,OFF10,OFF10,OFF10,OFF10,OFF10,OFF10,OFF10,OFF10,-10,-1,55,13,,,
14,4,DEF5,5,DEF5,B,DEF5,PI 16,8,17,-9,11,30,14,,,
15,DEF5,3,DEF5X,2,DEF5,6,13,11,PI 16,4,1,20,15,,,
16,F+ 4,10,OFF5,OFF5,OFF5,OFF5,30,OFF5,OFF5,8,-4,24,16,,,
17,15,15,16,-5,15,21,15,11,32,-10,17,22,17,,,
18,16,19,B,16,-2,25,19,28,8,,35,TD,18,,,
19,B,-1,16,B,20,39,40,TD,27,15,-10,62,19,,,
20,15,12,F,F+ 4,10,8,OFF5,F+ 13,F+ 29,-12,19,55,20,,,
21,1,4,8,11,3,,DEF5,7,19,4,6,39,21,,,
22,5,3,5,6,6,4,8,INT 9,10,F-4,9,22,22,,,
23,3,,3,4,BLP,6,12,16,INT 18,3,4,20,23,,,
24,4,B,5,6,1,INC,QR,8,21,,-1,14,24,,,
25,,4,,4,2,INC,6,INC,INC,-4,7,25,25,,,
26,1,6,4,2,3,5,INT 10,INC,19,4,F,18,26,,,
27,B,9,6,13,5,DEF15,18,9,22,7,1,19,27,,,
28,OFF5,OFF5,-1,12,F,F+ 3,F+ 10,22,15,-12,4,43,28,,,
29,19,-2,18,-3,9,-4,20,30,41,-13,-3,45,29,,,
30,DEF15,DEF5X,6,DEF5X,6,6,10,PI 9,DEF5,-12,8,27,30,,,
31,-1,2,3,3,3,QT,INC,10,13,4,5,23,31,,,
32,3,,1,2,BLP,INC,QR,QR,INC,-5,2,15,32,,,
33,1,2,,-1,BLP,5,INC,QR,INC,-4,9,21,33,,,
34,5,6,-1,3,SOP,7,INC,INC,QT,-5,,15,34,,,
35,6,,1,2,SOP,10,INC,INC,INC,-7,5,23,35,,,
36,4,2,6,4,-1,3,10,12,INC,-4,4,21,36,,,
37,5,3,B,-1,6,13,INC,7,INC,-1,2,19,37,,,
38,2,-1,DEF5,B,DEF5X,INT 1,22,DEF5,18,-6,,36,38,,,
39,15,11,17,12,7,46,B,4,TD,12,22,37,39,,,
#,Line Plunge,Counter,End Rev,Draw,Option,Screen,Sprint Out,Boot Leg,Drop Back,Kickoff,Kickoff Return,Punt,Punt Return,Int. Return,Field Goal,#
1,,-1,-1,,,,-3,-4,,48,39,40,29,40,NG,10
2,-1,,,,-2,-4,-4,,-4,59,26,DEF15,28,34,NG,11
3,-2,-2,-1,-3,-2,-2,-3,-3,INC,47,16,32,TD,25,34,12
4,,,,,0,,QR,INC,-3,67,18,39,13,17,34,13
5,,,(-1),(-3),,,INC,QT,-7,56,DEF15, 41*,10,11,12,14
1,(-1),-6,-2,-4,-3,,-4,-6,,63,26, 35*,6,9,32,15
2,-2,-1,,,-2,,-1,,-4,OFF5,15, 41*,14,20,28,16
3,-3,-1,,(-2),-3,,,-2,-5,67,19,41,26,26,33,17
4,,,0,,-4,,-3,QR,QT,63,22, 32*,30,41,NG,18
5,,,,(-4),,,QR,QR,INC,63,46,53,32,72,35,19
1,-1,,-5,-2,-7,INC,-4,,INC,70,24, 43*,14,16,33,20
2,,,-2,,-1,,,,9,67,9,29,15,11,36,21
3,-1,0,-1,,-2,,-5,INC,,64,OFF15,46,OFF15,7,33,22
4,,,,-1,,,QR,,,54,12, 35*,,14,13,23
5,,,,,(-6),QT,INC,QR,,63,10,43,3,,37,24
1,,,,,-1,,INC,-4,,66,14,31,10,18,33,25
2,,,,,,,-2,INC,,58,15,42,10,OFF15,37,26
3,,,,,,INC,,-2,INC,69,22,43,4,15,21,27
4,,,,,-1,,INC,,,75,16, 53*,24,29,33,28
5,,,,(B),0,,INT 14,INT 12,-39,35,F+ 22,33,39,40,22,29
1,,,1,2,,,INC,-5,INC,71,15, 39*,8,17,OFF5,30
2,2,2,,1,1,,-1,-1,INC,44,15,OFF5,9,18,22,31
3,,,,,,INC,-2,,-2,70,20, 44*,7,TD,34,32
4,3,5,8,4,2,-1,,INT 15,INT 32,62,17, 59*,10,22,17,33
5,1,1,,7,2,,INT 13,QR,INT 21,64,20, 40*,3,27,10,34
1,,1,2,2,-3,9,INC,-2,QT,65,16, 33*,11,23,21,35
2,,-5,-4,-3,-2,4,-1,INC,-10,65,21,35,5,11,35,36
3,-1,1,0,-4,-4,2,,QR,INC,57,19,42,,13,30,37
4,1,-6,9,4,-3,,QT,-3,INT 32,53,19, 38*,DEF5X,DEF5X,DEF15,38
5,-2,-5,(B),-4,,,,QT,INC,63,31, 31*,F+ 2,F+ 5,35,39
